SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
507552,FOODS & INNS,X ,Q,157.25,164.95,151.15,156.65,151.15,158.90,12,820,130259.00,
507580,IVP LIMITED ,B ,Q,128.70,130.00,127.00,128.10,128.10,125.70,8,456,58717.00,
507598,KLRFM       ,X ,Q,43.30,45.00,41.90,43.55,43.65,41.65,22,1061,45687.00,
507621,MILKFOOD    ,X ,Q,310.00,310.00,296.10,303.40,305.00,307.00,41,4555,1391159.00,
507645,POLSON LTD. ,X ,Q,11850.00,12012.00,11655.00,11980.00,11980.00,11950.15,10,13,154658.00,
507649,RASOI LTD.  ,XT,Q,30700.00,31105.00,30700.00,31105.00,31105.00,31000.00,4,13,402805.00,
507685,WIPRO LTD.  ,A ,Q,337.90,340.00,332.25,333.55,333.55,340.70,1498,128239,43101705.00,
507690,ORIENT BEVER,X ,Q,82.00,86.75,81.60,82.50,82.50,84.85,7,310,25830.00,
507717,DHAN AGRI   ,B ,Q,449.15,456.00,446.00,451.00,448.20,446.50,104,1585,715293.00,
507747,TTK HEALTHCA,B ,Q,799.85,799.85,779.45,781.35,780.50,790.15,26,185,144448.00,
507753,TGVSL       ,X ,Q,33.00,34.45,33.00,34.05,34.05,33.20,385,77036,2618684.00,
507759,LIME CHEM.  ,X ,Q,52.60,56.20,52.00,56.20,56.20,51.10,14,533,29196.00,
507779,KANPUR PLAST,X ,Q,135.00,135.00,131.50,131.55,131.55,135.30,92,7859,1041110.00,
507785,TAINWALA CH.,B ,Q,74.00,77.90,72.00,76.40,75.00,75.05,31,2310,176320.00,
507789,JAGSON PHAR ,B ,Q,29.10,31.30,29.10,31.25,30.50,30.50,21,2526,77955.00,
507794,KHAITAN CHEM,X ,Q,11.27,11.27,10.93,11.01,11.01,11.27,67,18398,205421.00,
507808,UNITED LEA(N,P ,Q,14.75,15.50,14.73,15.50,15.50,15.50,4,1600,23607.00,
